Company Name,Role,Job link, Similarity Score 
Amazon,Data Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179374214?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141830%2Fdata-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=grfi&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=oLkVQv41PyeZxoK2%2F2GfGQ%3D%3D&trk=public_jobs_apply-link-offsite,8.22%
Amazon,Amazon Robotics - Software Development Engineer (SDE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3179374214?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141830%2Fdata-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=grfi&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=oLkVQv41PyeZxoK2%2F2GfGQ%3D%3D&trk=public_jobs_apply-link-offsite,0.0%
Amazon,Amazon Robotics - Data Engineer (DE) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3179374214?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141830%2Fdata-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=grfi&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=oLkVQv41PyeZxoK2%2F2GfGQ%3D%3D&trk=public_jobs_apply-link-offsite,0.0%
Amazon,Front-End Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3209046770?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141835%2Ffrontend-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=-E7X&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=4bgWoaEKexITdK6lvgUnsA%3D%3D&trk=public_jobs_apply-link-offsite,6.43%
Amazon,Amazon Robotics - Data Scientist (DS) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3281940676?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2249554%2Famazon-robotics--data-scientist-ds-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=O_tM&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=veibuGpGSb%2F4vVZqvUmZ5w%3D%3D&trk=public_jobs_apply-link-offsite,9.78%
Amazon,Business Intelligence Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179373424?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141832%2Fbusiness-intelligence-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=_n_x&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=0T2mFOGV8MSh8jL78zlekw%3D%3D&trk=public_jobs_apply-link-offsite,7.32%
Amazon,Amazon Robotics - Hardware Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3272642402?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2243955%2Famazon-robotics--hardware-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=mN-G&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=OuSegBD1%2F6pFvgx2CGT2Sg%3D%3D&trk=public_jobs_apply-link-offsite,3.43%
Amazon,Amazon Robotics - Embedded Software Intern - Summer 2023 Amazon Robotics Sensor Team,https://www.linkedin.com/jobs/view/externalApply/3281732533?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2256322%2Famazon-robotics--embedded-software-intern--summer--amazon-robotics-sensor-team%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=f1oe&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=7k6%2BOQgjLu6tEtGpGq4RXA%3D%3D&trk=public_jobs_apply-link-offsite,10.84%
Amazon,Product Design Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179910331?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141742%2Fproduct-design-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=OXm4&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=fZGz%2FLd4WJ%2F%2BGYD%2BTKW0CA%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,User Experience (UX) Designer Internship – 2023,https://www.linkedin.com/jobs/view/externalApply/3179911504?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141735%2Fuser-experience-ux-designer-internship--%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=_M3b&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=Reakd3tjg0wLXHxAszu%2FJQ%3D%3D&trk=public_jobs_apply-link-offsite,6.27%
Amazon,Security Engineer Internship - 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3226483579?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141883%2Fsecurity-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=9gVW&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=PXdM4wykgYJjQQ%2FGoSbBfw%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,Hardware Development Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179375266?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141740%2Fhardware-development-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Rsdi&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=09lHI3amXvMB8KV4zNqlEA%3D%3D&trk=public_jobs_apply-link-offsite,6.16%
Amazon,Applied Scientist Intern - Amazon Robotics - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3121124592?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2103220%2Fapplied-scientist-intern--amazon-robotics--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=ZHpM&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=PmRIZCRaodc%2FvbWrqi4scg%3D%3D&trk=public_jobs_apply-link-offsite,5.55%
Amazon,Amazon Robotics - Data Scientist (DS) Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3287563549?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2252659%2Famazon-robotics--data-scientist-ds-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=HsD_&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=LxkSpGQeNlX0jw%2Bq56olxA%3D%3D&trk=public_jobs_apply-link-offsite,9.78%
Amazon,Amazon Robotics - Sensor Electrical Engineer Intern - Summer 2023 Amazon Robotics Sensor Team,https://www.linkedin.com/jobs/view/externalApply/3281727794?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2256314%2Famazon-robotics--sensor-electrical-engineer-intern--summer--amazon-robotics-sensor-team%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=mhEQ&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=UbitcMpmIBHF3SWQuIPa%2Bw%3D%3D&trk=public_jobs_apply-link-offsite,10.55%
Amazon,User Experience (UX) Researcher Intern – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179912263?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141799%2Fuser-experience-ux-researcher-intern----us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Z2Fv&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=Azrd9s8DKKbGoImmwh70Ng%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,Industrial Design Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179915210?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141829%2Findustrial-design-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=SQbw&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=Ta99hU9iMxT5a510FjBDmQ%3D%3D&trk=public_jobs_apply-link-offsite,8.09%
Amazon,Product Design Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914207?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141741%2Fproduct-design-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=31w9&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=WxiUR21bEt87MepQJFKYWw%3D%3D&trk=public_jobs_apply-link-offsite,6.18%
Amazon,Software Development Engineer In Test Internship - 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3287561670?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2220337%2Fsoftware-development-engineer-in-test-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wOmG&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=jdVR0wF8uRYk78JltqFGnA%3D%3D&trk=public_jobs_apply-link-offsite,7.66%
Amazon,Hardware Development Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3262873628?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141725%2Fhardware-development-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=WU1V&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=XMJ8v%2Fo2cO2mPLuqB%2BQc%2BQ%3D%3D&trk=public_jobs_apply-link-offsite,5.89%
Amazon,Amazon Robotics - Hardware Test Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3287561723?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2253022%2Famazon-robotics--hardware-test-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=wfXs&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=FtzYv0NW9%2FM3ey5B8nWqjQ%3D%3D&trk=public_jobs_apply-link-offsite,8.06%
Amazon,Quality Assurance Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914188?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141837%2Fquality-assurance-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=0d4k&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=mupPJyXRWxg%2BlJ9HuaFz5w%3D%3D&trk=public_jobs_apply-link-offsite,5.91%
Amazon,2023 Machine Learning Intern - Masters Students Global Engineering Services (GES),https://www.linkedin.com/jobs/view/externalApply/3253550357?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2230464%2F-machine-learning-intern--masters-students-global-engineering-services-ges%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=IsB-&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=hIsw6Tz%2FSbmHwt4JmbGYVA%3D%3D&trk=public_jobs_apply-link-offsite,10.33%
Amazon,Application-Specific Integrated Circuit (ASIC) Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179376167?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141738%2Fapplicationspecific-integrated-circuit-asic-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=yG7y&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=2Y5qrzaLZnv5z6qCa47JCw%3D%3D&trk=public_jobs_apply-link-offsite,5.99%
Amazon,2023 Applied Science Internship - Automated Reasoning - United States,https://www.linkedin.com/jobs/view/externalApply/3184415161?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2173372%2F-applied-science-internship--automated-reasoning--united-states%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=j6hL&refId=dFxhwoEozM3njLVRjd2vDA%3D%3D&trackingId=haZTdZeNGPnDp%2FSVWga3QQ%3D%3D&trk=public_jobs_apply-link-offsite,8.51%
Amazon,Front-End Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3209046770?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141835%2Ffrontend-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=-E7X&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=DGrWlgxU%2BldeRqDqPtfobg%3D%3D&trk=public_jobs_apply-link-offsite,6.43%
Amazon,Amazon Robotics - Hardware Engineer Intern - Summer 2023,https://www.linkedin.com/jobs/view/externalApply/3272642402?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2243955%2Famazon-robotics--hardware-engineer-intern--summer-%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=mN-G&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=NmIeXerifsAy8EOLK9%2BaFw%3D%3D&trk=public_jobs_apply-link-offsite,3.43%
Amazon,Hardware Development Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179375266?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141740%2Fhardware-development-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=Rsdi&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=YCz0ckfmWd8JuNVSXjmeBQ%3D%3D&trk=public_jobs_apply-link-offsite,6.16%
Amazon,Quality Assurance Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179914188?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141837%2Fquality-assurance-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=0d4k&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=vzJwJFPcUUUX5TS2u0H%2FzQ%3D%3D&trk=public_jobs_apply-link-offsite,5.91%
Amazon,Amazon Robotics - Embedded Software Intern - Summer 2023 Amazon Robotics Sensor Team,https://www.linkedin.com/jobs/view/externalApply/3281732533?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2256322%2Famazon-robotics--embedded-software-intern--summer--amazon-robotics-sensor-team%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=f1oe&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=463oBh2Yf81AzYG8QQnUcg%3D%3D&trk=public_jobs_apply-link-offsite,10.84%
Amazon,Data Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179374214?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141830%2Fdata-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=grfi&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=spPxedMNlrNpDrQUbw1k%2Bg%3D%3D&trk=public_jobs_apply-link-offsite,8.22%
Amazon,Product Design Engineer Internship Developing Engineers Program – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3179910331?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141742%2Fproduct-design-engineer-internship-developing-engineers-program---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=OXm4&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=089ChWdQVj1e7THkKavtNg%3D%3D&trk=public_jobs_apply-link-offsite,6.39%
Amazon,Hardware Development Engineer Internship – 2023 (US),https://www.linkedin.com/jobs/view/externalApply/3262873628?url=https%3A%2F%2Fwww%2Eamazon%2Ejobs%2Fjobs%2F2141725%2Fhardware-development-engineer-internship---us%3Fcmpid%3DSPLICX0248M%26utm_source%3Dlinkedin%2Ecom%26utm_campaign%3Dcxro%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=WU1V&refId=U93EhQbICY7OgXeoD8iFzg%3D%3D&trackingId=%2FLKyLBJK6qtOraH3dSAFOA%3D%3D&trk=public_jobs_apply-link-offsite,5.89%
